# Landing-page champions ticker (the scrolling marquee).
#
# One line per award, three fields separated by |
#   Routine Title | Award line | Organization + Year
#
# Rendered as:  ROUTINE TITLE · Award line · Organization Year ✦
#
# Editing rules:
# - Lines starting with # are ignored. Blank lines are ignored.
# - Keep it to ONE award per organizer so no circuit looks favored.
# - Empty this file (or leave only comments) to HIDE the ticker entirely.
# - If an org is ever unlisted/hidden (/admin/orgs Visibility), REMOVE its
#   line here too — this file is manual and does not follow the flag.
# - Served at /marquee_awards.txt; the landing pages fetch it on load,
#   so changes go live with the next deploy — no code edits needed.
#
# Current list: one National Champion / Title Winner per organizer.
# Not yet listed (add when the data supports a real top award):
# - Spotlight Dance Cup (title rows carry dancer names, overall rows are
#   adjudication gems — needs the top awards marked in the vocab editor)
# - Epic (no data yet); Refresh (first season 2026 — add a title winner when one lands)

Dreams Don't Die | Petite Miss Encore | Encore 2026
Goodness of God | Elite Title — Teen Miss Nexstar | NexStar 2026
Hocus Pocus | Premier Title — Petite Miss Believe | Believe Talent 2026
These Arms of Mine | Premier Title — Junior Mr. DreamMaker | DreamMaker 2026
Fly | Title — Petite Miss Imagine | Imagine Dance Challenge 2026
Kiss The Girl | National Grand Champion — Primary Mini Group | KAR 2026
They Come and Go | Overall High Score | NYCDA 2025
Little Bitty Pretty Ones | National Grand Champion — Petite Group | Rainbow 2026
L O V E | Premier Title — Petite Miss Dance America | Revolution Talent 2026
Sweet Child O' Mine | High Score | Showstopper 2025
Cold Water | Teen Icon of the Year | Ultra Dance Tour 2026
Get Ready | Title Winner | StarQuest 2025
Cover Girl | Premier Title — Petite Miss Starpower | Starpower 2026
Le Corsaire | 1st Place — Pas de Deux | Youth America Grand Prix 2026
Sachi Oza | ADC|IBC Grand Prix Recipient | ADC IBC 2026
Grand Pas Classique Variation | Grand Prix Finals 1st — Senior Classical | Universal Ballet Competition 2026
Charlie Wang | Dancer of the Year | Hollywood Vibe 2026
Ethereal Beauty | Best of JUMP | JUMP Dance Convention 2026
Where I Wanna Be | Best NU Group — Senior | NUVO Dance Convention 2026
The Rain | Best of Radix — Senior | RADIX Dance Convention 2026
